"Theo Luật Sở hữu trí tuệ (sửa đổi, bổ sung năm 2019), có những hình thức nộp đơn đăng ký xác lập quyền sở hữu công nghiệp nào?",Cả hai dạng trên
"Một trong những nhiệm vụ của trường trung cấp, trường cao đẳng, trường đại học trong nghiên cứu khoa học, phục vụ xã hội là:","Nghiên cứu khoa học; ứng dụng, phát triển và chuyển giao công nghệ; tham gia giải quyết những vấn đề về kinh tế - xã hội của địa phương và đất nước"
"Theo Luật Sở hữu trí tuệ (sửa đổi, bổ sung năm 2019), văn bằng bảo hộ của cơ quan nhà nước có thẩm quyền quy định quyền sở hữu nào?",Tất cả đều đúng
Đối tượng nào được áp dụng hình thức cai nghiện ma túy tại gia đình hay tại cộng đồng?,Người tự nguyện cai nghiện
Thanh tra giáo dục KHÔNG có nhiệm vụ nào sau đây:,"Chịu trực tiếp việc thu học phí, lệ phí xét tuyển tại mỗi địa phương"
"Theo Luật Sở hữu trí tuệ, yêu cầu đối với phần mô tả sáng chế khi đăng ký bảo hộ sáng chế là gì?",Tất cả đều đúng
"Theo Luật Giáo dục 2005 và Luật giáo dục sửa đổi bổ sung năm 2009, đâu là nhiệm vụ và quyền hạn của nhà trường?",Tất cả đều đúng
"Theo Luật Sở hữu trí tuệ (sửa đổi, bổ sung năm 2009), tổ chức dịch vụ đại diện sở hữu công nghiệp là danh nghĩa dùng để chỉ những tổ chức như thế nào?",Tất cả đều đúng
"Theo Luật Sở hữu trí tuệ, trường hợp nào văn bằng bảo hộ bị hủy bỏ toàn bộ hiệu lực?",Cả hai đều đúng
"Theo Luật Sở hữu trí tuệ (sửa đổi, bổ sung năm 2009), khu vực kinh doanh là gì?",Tất cả đều đúng
"Ai quy định tiêu chuẩn, thủ tục bổ nhiệm, miễn nhiệm chức danh giáo sư, phó giáo sư ?",Thủ tướng Chính phủ
"Những nguồn kinh phí nào không được dùng cho mục đích xây dựng cơ sở vật chất, tổ chức cai nghiện ma túy, quản lý sau cai nghiện, phòng, chống tái nghiện ma túy được quy định tại các điều 27, 28, 29, 31, 33 và 34 của Luật phòng, chống ma túy (sửa đổi, bổ sung năm 2008)?",Không có nguồn nào trong các nguồn trên.
Hiệu lực của hợp đồng chuyển giao quyền sở hữu công nghiệp được xác định khi nào?,Khi đã được đăng ký tại cơ quan quản lý nhà nước về quyền sở hữu công nghiệp
Người học có nhiệm vụ nào sau đây:,Tất cả đều đúng
"Theo điều 5, Luật Thanh niên (sửa đổi) : Mục 6: Hỗ trợ, tạo điều kiện cho thanh niên Việt Nam ở nước ngoài tham gia các hoạt động hướng về Tổ quốc và giữ gìn, phát huy … Điền vào chỗ chấm:",Bản sắc văn hóa dân tộc
"Theo Luật Sở hữu trí tuệ (năm 2005), quyền thân nhân là gì?",Tất cả đều đúng
Đối tượng nào được cai nghiện tại cơ sở cai nghiện bắt buộc dành riêng cho họ?,Người nghiện ma tuý từ đủ 12 tuổi đến dưới 18 tuổi
"Bộ nào có trách nhiệm chỉ đạo cơ quan Hải quan thực hiện hoạt động phòng, chống ma túy theo quy định của Luật này và các quy định khác của pháp luật có liên quan?",Bộ Tài chính
"Theo Luật Sở hữu trí tuệ (năm 2005), nhà sản xuất bản ghi âm, ghi hình có những quyền hạn gì?",Tất cả đều đúng
"Theo Luật Giáo dục 2005, ý nào dưới đây thuộc nội dung quản lý nhà nước về giáo dục ?",Cả 2 ý đều đúng
